"","player_name","player_url","Season","Age","Squad","Country","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"92","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2017-2018",32,"Real Madrid","ESP","1. La Liga",25.4,7,4,3,3,1,1,6,16.7,5,10,3,7,6,13,14,0
"93","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2017-2018",32,"Real Madrid","","Super Cup",0.1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"94","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2017-2018",32,"Real Madrid","ESP","Supercopa de Espa<U+00F1>a",0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2018-2019",33,"Juventus","","1. Champions Lg",8.3,3,3,1,2,0,0,7,0,7,2,1,1,3,6,6,0
"96","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2018-2019",33,"Juventus","ITA","Coppa Italia",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2018-2019",33,"Juventus","ITA","1. Serie A",29.9,10,7,5,4,1,1,11,9.1,10,7,2,5,6,16,32,0
"98","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2018-2019",33,"Juventus","ITA","Supercoppa",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"99","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2019-2020",34,"Juventus","","1. Champions Lg",7.9,1,0,1,0,0,0,3,0,3,1,0,1,4,5,4,0
"100","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2019-2020",34,"Juventus","ITA","Coppa Italia",4.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"101","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2019-2020",34,"Juventus","ITA","1. Serie A",32.4,14,10,3,3,8,4,20,20,16,10,3,7,6,20,21,1
"102","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2019-2020",34,"Juventus","ITA","Supercoppa",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"103","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2020-2021",35,"Juventus","","1. Champions Lg",6.3,0,0,0,0,0,0,3,0,3,1,1,0,2,2,5,0
"104","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2020-2021",35,"Juventus","ITA","Coppa Italia",3.2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"105","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2020-2021",35,"Juventus","ITA","1. Serie A",31.1,6,3,1,3,2,3,15,20,12,11,3,8,5,11,15,1
"106","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2020-2021",35,"Juventus","ITA","Supercoppa",1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"107","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2021-2022",36,"Manchester Utd","","1. Champions Lg",6.8,3,1,1,1,1,2,3,66.7,1,6,0,6,0,3,7,0
"108","Cristiano Ronaldo","https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo","2021-2022",36,"Manchester Utd","ENG","FA Cup",1.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
